package,time,rtime,ctime,maxrss,maxcpu,maxth,nlines,ntests,nsubtests
kv/kvserver/gc,2,1.648,0.3520000000000001,879844,99.6,116,32,5,9
kv/kvserver/idalloc,1,0.317,0.683,1524776,84.2,91,25,4,0
kv/kvserver/intentresolver,1,0.133,0.867,556364,8.7,81,94,8,17
kv/kvserver/protectedts,0.03,0.03,0,268564,8.0,47,4,1,0
kv/kvserver/protectedts/ptcache,5,0.961,4.039,1542468,144.9,93,349,6,13
kv/kvserver/protectedts/ptpb,0,-1,0,461384,8.7,48,1,0,0
kv/kvserver/protectedts/ptprovider,0,-1,0,324384,8.7,48,1,0,0
kv/kvserver/protectedts/ptreconcile,2,0.161,1.839,2097288,168.2,115,54,1,2
kv/kvserver/protectedts/ptstorage,4,1.683,2.317,1185940,294.6,94,722,4,47
kv/kvserver/protectedts/ptverifier,2,0.237,1.763,1210164,172.6,93,61,1,5
kv/kvserver/raftentry,0.164,0.164,0,458444,9.1,84,38,16,2
kv/kvserver/rangefeed,1,0.446,0.554,679568,9.1,81,70,21,5
kv/kvserver/rditer,1,0.044,0.956,815840,8.8,81,61,2,27
kv/kvserver/reports,9,6.146,2.854,1301224,566.9,114,2179,13,5
kv/kvserver/spanlatch,12,11.854,0.1460000000000008,471032,202.0,84,257,18,89
kv/kvserver/spanset,0.044,0.044,0,604412,5.7,80,19,8,0
kv/kvserver/split,1,0.044,0.956,456600,5.9,69,14,5,0
kv/kvserver/stateloader,2,0.037,1.963,355480,5.9,68,6,1,0
kv/kvserver/storagebase,0,-1,0,268564,5.6,47,1,0,0
kv/kvserver/storagepb,0,-1,0,268564,5.6,47,1,0,0
kv/kvserver/tscache,23,22.469,0.5309999999999988,516228,406.0,85,425,25,179
kv/kvserver/txnrecovery,1,0.035,0.965,671124,1.2,80,33,3,10
kv/kvserver/txnwait,0.038,0.038,0,474300,2.2,80,149,4,68
roachpb,1,0.416,0.5840000000000001,315104,15.3,81,532,73,122
rpc,2,1.475,0.5249999999999999,602308,107.5,86,163,29,28
rpc/nodedialer,0.124,0.124,0,315088,10.4,77,20,5,0
security,5,1.216,3.784,1683852,202.5,93,355,17,22
security/securitytest,0,-1,0,268892,9.0,47,1,0,0
server,83,79.073,3.9270000000000067,1936660,328.1,114,23755,117,2060
server/debug,0.104,0.104,0,424248,21.1,74,24,4,7
server/debug/goroutineui,0.027,0.027,0,287048,21.2,57,5,1,0
server/debug/pprofui,0.049,0.049,0,299268,19.0,68,10,1,3
server/diagnosticspb,1,0.498,0.502,786772,120.5,80,5,1,0
server/goroutinedumper,2,0.033,1.967,434868,26.6,68,45,4,14
server/heapprofiler,1,0.03,0.97,545908,24.8,79,5,1,0
server/serverpb,1,0.035,0.965,269272,19.5,47,5,1,0
server/status,1,0.086,0.914,1109336,106.5,85,17,7,0
server/status/statuspb,0,-1,0,269292,17.0,48,1,0,0
server/telemetry,0.028,0.028,0,269272,14.8,47,4,1,0
settings,1,0.031,0.969,648780,15.0,79,25,5,6
settings/cluster,0,-1,0,296892,13.8,56,1,0,0
sql,217,213.057,3.943000000000012,1841152,549.6,148,43787,312,770
sql/backfill,3,-1,0,270748,38.8,47,3,0,0
sql/colcontainer,3,2.385,0.6150000000000002,1126748,261.2,91,33,3,11
sql/colencoding,5,0.041,4.959,2197840,222.4,117,2007,1,0
sql/colexec,67,67.247,0,1243456,201.6,94,20648,99,10205
sql/colexec/execgen,2,-1,0,297072,45.4,47,2,0,0
sql/colexec/execgen/cmd/execgen,0,-1,0,297072,45.6,47,1,0,0
sql/colexec/execpb,0,-1,0,297072,45.6,47,1,0,0
sql/colexecbase,2,0.7,1.3,636480,42.6,83,6,1,0
sql/colexecbase/colexecerror,0,-1,0,297284,53.0,47,2,0,0
sql/colflow,4,1.099,2.901,1455648,307.0,92,92,9,33
sql/colflow/colrpc,4,0.103,3.897,554520,47.6,82,63,10,17
sql/colmem,0,-1,0,344904,37.8,61,1,0,0
sql/covering,0.029,0.029,0,542032,38.6,78,27,1,11
sql/delegate,0,-1,0,329192,38.6,59,1,0,0
sql/distsql,14,11.382,2.6180000000000003,1480948,319.4,95,100,10,0
sql/enum,4,3.407,0.593,452820,83.7,80,10,3,0
sql/execinfra,5,0.736,4.264,1680232,88.2,85,14,4,0
sql/execinfrapb,3,0.043,2.957,475060,22.0,80,12,2,0
sql/flowinfra,5,2.783,2.217,1367328,295.8,102,645,21,15
sql/gcjob,1,-1,0,297664,33.9,47,2,0,0
sql/gcjob_test,15,11.494,3.5060000000000002,1800244,233.7,127,576,1,0
sql/lex,1,0.352,0.648,503628,4.7,82,123,6,54
sql/logictest,577,574.699,2.3010000000000446,6838448,5076.5,258,8760,1,900
sql/mutations,2,0.034,1.966,264856,1.1,56,5,0,0
sql/oidext,0.017,0.017,0,400632,1.6,48,10,0,0
sql/opt,2,0.033,1.967,410368,2.7,79,19,0,0
sql/opt/bench,4,0.05,3.95,1612936,93.5,79,9,0,0
sql/opt/cat,1,0.034,0.966,588636,4.2,79,7,0,0
sql/opt/constraint,0.04,0.04,0,745724,5.4,80,207,0,0
sql/opt/exec,0,-1,0,528460,5.4,80,1,0,0
sql/opt/exec/execbuilder,1867,1865.215,1.7850000000000819,4969464,5789.7,412,29140,0,0
sql/opt/idxconstraint,5,0.054,4.946,1486936,83.4,116,1721,0,0
sql/opt/memo,950,951.427,0,352676,75.5,88,433416,0,0
sql/opt/norm,73,72.92,0.0799999999999983,352092,87.9,88,32399,0,0
sql/opt/opbench,2,0.118,1.8820000000000001,789528,74.0,85,19,0,0
sql/opt/optbuilder,74,72.968,1.0319999999999965,791312,99.1,88,32228,0,0
sql/opt/optgen/cmd/langgen,0,-1,0,272864,16.1,48,1,0,0
sql/opt/optgen/cmd/optfmt,2,0.033,1.967,472972,39.9,82,521,0,0
sql/opt/optgen/cmd/optgen,5,6.013,0,299612,40.2,61,1893,0,0
sql/opt/optgen/exprgen,2,0.045,1.955,919756,33.8,83,634,0,0
sql/opt/optgen/lang,5,0.029,4.971,1396452,114.5,117,2096,0,0
sql/opt/ordering,1,0.039,0.961,595668,14.7,81,162,0,0
sql/opt/props,0.981,0.981,0,882780,63.5,83,68,0,0
sql/opt/props/physical,0.035,0.035,0,939424,64.3,81,32,0,0
sql/opt/testutils,0,-1,0,940088,64.5,81,1,0,0
sql/opt/testutils/opttester,4,3.412,0.5880000000000001,577864,81.0,85,1602,0,0
sql/opt/testutils/testcat,1,0.045,0.955,950572,106.7,81,563,0,0
sql/opt/testutils/testexpr,0,-1,0,915976,106.7,81,1,0,0
sql/opt/xform,124,123.32,0.6800000000000068,498816,118.3,88,55649,0,0
sql/parser,6,5.047,0.9530000000000003,1049852,79.9,87,2284,0,0
sql/parser/fuzz,0,-1,0,312540,15.3,65,1,0,0
sql/pgwire,26,22.48,3.5199999999999996,1252948,207.0,98,8527,0,0
sql/pgwire/hba,3,0.039,2.961,1100572,102.0,117,1127,0,0
sql/pgwire/pgcode,0,-1,0,1101244,92.1,81,1,0,0
sql/pgwire/pgerror,0.035,0.035,0,1212980,104.6,82,134,0,0
sql/pgwire/pgnotice,0,-1,0,1212996,104.6,82,1,0,0
sql/pgwire/pgwirebase,0,-1,0,1213000,104.6,82,1,0,0
sql/physicalplan,6,4.641,1.359,1822240,338.6,109,1631,0,0
sql/physicalplan/replicaoracle,2,0.038,1.962,492848,18.7,80,11,0,0
sql/privilege,1,0.029,0.971,455456,15.6,80,5,0,0
sql/querycache,1,0.189,0.8109999999999999,845184,130.1,82,11,0,0
sql/roleoption,0,-1,0,273360,13.5,48,1,0,0
sql/row,6,3.375,2.625,1208772,260.0,97,1078,0,0
sql/rowcontainer,1,0.21,0.79,439624,11.1,92,67,0,0
sql/rowexec,10,8.05,1.9499999999999993,1451648,251.6,105,2881,0,0
sql/rowflow,3,0.774,2.226,1237504,174.1,116,68,0,0
sql/schema,1,-1,0,282308,43.7,48,2,0,0
sql/schemachange,9,5.104,3.896,1611820,261.3,97,2167,0,0
sql/scrub,0,-1,0,632036,21.8,81,1,0,0
sql/sem/builtins,6,3.449,2.551,1106228,221.2,95,1526,0,0
sql/sem/transform,0,-1,0,282308,13.5,48,1,0,0
sql/sem/tree,98,95.407,2.5930000000000035,1360792,138.1,97,42637,0,0
sql/sessiondata,0.027,0.027,0,457808,15.4,60,64,0,0
sql/span,0,-1,0,337564,15.4,60,1,0,0
sql/sqlbase,8,4.538,3.4619999999999997,1748792,231.5,95,1480,0,0
sql/sqltelemetry,0,-1,0,282392,28.7,48,1,0,0
sql/sqlutil,0,-1,0,282392,28.7,48,1,0,0
sql/stats,16,12.048,3.952,1649296,329.6,105,4190,0,0
sql/stmtdiagnostics,4,0.677,3.323,1646608,77.2,99,178,0,0
sql/tests,27,23.052,3.9480000000000004,1481136,579.9,106,2159,0,0
sql/types,0.03,0.03,0,921644,69.5,82,358,0,0
sql/vtable,0,-1,0,923268,69.5,82,1,0,0
sqlmigrations,3,0.956,2.044,1657992,76.2,97,403,0,0
sqlmigrations/leasemanager,3,0.666,2.334,1093560,120.0,94,183,0,0
storage,38,36.966,1.033999999999999,1037140,229.0,115,15288,0,0
storage/cloud,2,0.26,1.74,494052,14.6,84,202,0,0
storage/enginepb,0.034,0.034,0,485616,12.2,49,6,0,0
storage/fs,0,-1,0,407068,12.2,49,1,0,0
storage/metamorphic,26,25.17,0.8299999999999983,739148,114.0,95,10549,0,0
testutils,1,0.223,0.777,553992,22.9,80,20,0,0
testutils/buildutil,0,-1,0,282396,22.9,48,1,0,0
testutils/colcontainerutils,0,-1,0,282396,23.0,48,1,0,0
testutils/diagutils,0,-1,0,282396,23.0,48,1,0,0
testutils/distsqlutils,0,-1,0,413608,23.0,49,1,0,0
testutils/gossiputil,0,-1,0,282416,23.0,49,1,0,0
testutils/jobutils,0,-1,0,282416,23.0,49,1,0,0
testutils/keysutils,1,0.036,0.964,863420,68.0,115,15,0,0
testutils/kvclientutils,0,-1,0,282396,19.9,48,1,0,0
testutils/lint,0,-1,0,282396,19.9,48,1,0,0
testutils/lint/passes/descriptormarshal,0.043,0.043,0,315128,17.8,64,4,0,0
testutils/lint/passes/errcmp,0,-1,0,282396,17.9,48,1,0,0
testutils/lint/passes/fmtsafe,2,0.927,1.073,661248,18.0,80,24,0,0
testutils/lint/passes/hash,2,1.097,0.903,447264,17.2,76,5,0,0
testutils/lint/passes/nocopy,1,0.043,0.957,323620,12.3,63,5,0,0
testutils/lint/passes/returnerrcheck,1,0.795,0.20499999999999996,729740,11.0,82,5,0,0
testutils/lint/passes/timer,1,0.671,0.32899999999999996,340328,9.8,63,5,0,0
testutils/lint/passes/unconvert,0.042,0.042,0,322668,8.9,64,4,0,0
testutils/localtestcluster,0,-1,0,282396,8.9,48,1,0,0
testutils/pgtest,0,-1,0,282396,9.0,48,1,0,0
testutils/physicalplanutils,0,-1,0,475320,9.2,49,1,0,0
testutils/reduce,0.028,0.028,0,496688,9.8,79,27,0,0
testutils/reduce/reducesql,2,0.26,1.74,1523520,156.6,80,7,0,0
testutils/serverutils,0,-1,0,282396,8.5,48,1,0,0
testutils/sqlutils,2,0.137,1.863,1352060,188.9,93,53,0,0
testutils/storageutils,0,-1,0,305268,8.3,60,1,0,0
testutils/testcluster,7,5.023,1.9770000000000003,1262736,430.4,103,1707,0,0
testutils/zerofields,0.027,0.027,0,282400,13.2,48,4,0,0
ts,12,7.826,4.174,1720172,231.6,95,519,0,0
ts/catalog,0,-1,0,282400,7.1,48,1,0,0
ts/testmodel,0.034,0.034,0,652264,8.1,81,167,0,0
ts/tspb,0,-1,0,353056,8.1,49,1,0,0
ui,0,-1,0,282420,8.1,49,1,0,0
ui/distccl,0,-1,0,282420,8.1,49,1,0,0
ui/distoss,0,-1,0,289672,8.1,53,1,0,0
util,1,0.207,0.793,449836,8.5,73,80,0,0
util/arith,0,-1,0,289172,7.8,55,1,0,0
util/binfetcher,0.032,0.032,0,282400,7.8,48,6,0,0
util/bitarray,1,0.036,0.964,849812,9.6,115,484,0,0
util/bufalloc,0,-1,0,438908,9.6,79,1,0,0
util/cache,0.03,0.03,0,481676,9.6,81,28,0,0
util/caller,0.028,0.028,0,569384,9.2,81,7,0,0
util/cgroups,0.035,0.035,0,471544,9.0,65,22,0,0
util/cloudinfo,0.03,0.03,0,505544,9.7,60,14,0,0
util/contextutil,0.06,0.06,0,460032,9.7,76,9,0,0
util/ctxgroup,1,0.033,0.967,479360,9.0,49,8,0,0
util/duration,0.028,0.028,0,524952,9.5,80,21,0,0
util/encoding,2,2.353,0,329468,198.6,83,1028,0,0
util/encoding/csv,1,0.032,0.968,504196,11.6,72,151,0,0
util/envutil,0.018,0.018,0,383156,11.6,81,4,0,0
util/errorutil,0.028,0.028,0,282412,11.0,48,4,0,0
util/errorutil/unimplemented,0.027,0.027,0,486176,11.7,75,19,0,0
util/fileutil,0,-1,0,308476,11.7,59,1,0,0
util/flagutil,0.029,0.029,0,483500,10.9,64,26,0,0
util/fsm,0.022,0.022,0,474112,11.7,65,26,0,0
util/growstack,0,-1,0,318812,11.7,65,1,0,0
util/grpcutil,1,0.035,0.965,705952,11.7,80,22,0,0
util/hlc,1,0.032,0.968,474512,11.3,81,105,0,0
util/httputil,0,-1,0,435360,11.3,81,1,0,0
util/humanizeutil,0.028,0.028,0,282416,12.0,48,4,0,0
util/interval,3,1.815,1.185,497420,200.9,86,244,0,0
util/interval/generic,12,12.782,0,475672,170.9,85,74,0,0
util/interval/generic/internal,0,-1,0,302660,2.1,58,1,0,0
util/ipaddr,0.027,0.027,0,439604,2.8,72,42,0,0
util/json,7,6.51,0.4900000000000002,317028,52.3,76,2427,0,0
util/keysutil,0,-1,0,282420,8.0,48,1,0,0
util/leaktest,0,-1,0,282420,8.0,48,1,0,0
util/limit,1,0.242,0.758,672972,7.7,117,26,0,0
util/log,5,2.765,2.235,1875544,180.8,96,1001,0,0
util/log/logflags,0,-1,0,282432,8.8,48,1,0,0
util/log/testshout,0.028,0.028,0,569724,9.5,81,5,0,0
util/metric,0.031,0.031,0,473260,8.6,63,22,0,0
util/mon,3,1.494,1.506,1101788,105.4,115,1357,0,0
util/netutil,0.033,0.033,0,509056,10.7,81,24,0,0
util/pretty,0.021,0.021,0,519412,10.7,81,6,0,0
util/protoutil,1,0.036,0.964,706108,10.4,80,5,0,0
util/quotapool,0.089,0.089,0,487128,10.3,85,53,0,0
util/randutil,0.028,0.028,0,464088,10.5,49,8,0,0
util/retry,0.031,0.031,0,490544,10.4,67,24,0,0
util/ring,12,12.353,0,298112,103.3,65,13,0,0
util/sdnotify,0.029,0.029,0,282432,2.7,48,4,0,0
util/search,0.028,0.028,0,439896,2.9,66,26,0,0
util/shuffle,0.028,0.028,0,290196,3.5,49,4,0,0
util/span,1,0.036,0.964,553656,4.0,78,9,0,0
util/stacktrace,0.026,0.026,0,483988,4.6,55,11,0,0
util/stop,1,0.371,0.629,492420,5.1,82,70,0,0
util/stringarena,0,-1,0,282440,5.0,48,3,0,0
util/stringencoding,0,-1,0,282440,5.1,48,1,0,0
util/syncutil,0.133,0.133,0,296632,5.6,81,10,0,0
util/syncutil/singleflight,0.037,0.037,0,463728,6.5,80,15,0,0
util/sysutil,0.031,0.031,0,479888,6.4,59,8,0,0
util/timeofday,0.027,0.027,0,442652,7.0,71,60,0,0
util/timetz,0.029,0.029,0,477836,7.3,81,127,0,0
util/timeutil,1,0.451,0.5489999999999999,308012,7.5,61,83,0,0
util/timeutil/pgdate,0.102,0.102,0,420248,7.9,75,122,0,0
util/tracing,0.028,0.028,0,477908,7.8,55,12,0,0
util/treeprinter,0.019,0.019,0,440000,8.1,49,8,0,0
util/uint128,0.026,0.026,0,467804,8.7,61,22,0,0
util/unique,0.019,0.019,0,442764,9.4,71,44,0,0
util/uuid,1,0.028,0.972,480260,9.8,81,164,0,0
util/version,0.027,0.027,0,282444,10.1,48,10,0,0
workload,3,0.069,2.931,1215156,168.6,82,23,0,0
workload/bank,3,1.091,1.909,1369516,307.7,95,180,0,0
workload/bulkingest,0,-1,0,321592,8.6,62,1,0,0
workload/cli,0.033,0.033,0,465560,8.1,49,8,0,0
workload/debug,0,-1,0,282464,8.1,49,1,0,0
workload/examples,0,-1,0,282464,8.2,49,1,0,0
workload/faker,0.021,0.021,0,495644,8.9,70,7,0,0
workload/histogram,0,-1,0,340000,8.9,49,1,0,0
